"WebURL","WebTitle","Description","DataURL","FileName"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=CE8947AD-9928-4437-BF02-2C757E39477D","各機場、港口入出境人數統計資料_1060326"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=BFB8EABB-EDB4-4724-83E2-27B72BACB2A8","各機場、港口入出境人數統計資料_1051023"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=A7CA60BD-1588-4174-9B30-808A6643D637","各機場、港口入出境人數統計資料_1040913"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=A9CBE42D-B06B-44BF-9658-7B046E4C36A0","各機場、港口入出境人數統計資料_1060910"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=9B3E94CE-9AC1-4464-AB74-FFEA8E9AEF67","各機場、港口入出境人數統計資料_1060416"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=078F6F22-D630-418C-A14C-1BE001D1F0F5","各機場、港口入出境人數統計資料_1050925"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=508A5C32-1FB0-41A4-9D87-199A16E0CB91","各機場、港口入出境人數統計資料_1041227"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=CA88DAE6-55B1-4883-BC72-904DD5132105","各機場、港口入出境人數統計資料_1051120"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=E54FFE4E-0C9D-4FEC-8B28-E6636D682D39","各機場、港口入出境人數統計資料_1050410"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=28D11FB3-F9DF-4CD5-B773-FB8E6A64BE2D","各機場、港口入出境人數統計資料_1040524"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=D0A8BC1A-85CB-4F88-AE7B-ABDFA3BB01AC","各機場、港口入出境人數統計資料_1051011"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=54F045C6-383B-44E1-8071-C68CE649C4AE","各機場、港口入出境人數統計資料_1040705"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=182CB679-7FC2-492B-81F2-C86780F5819C","各機場、港口入出境人數統計資料_1051225"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=1D839833-3EDD-4826-8C42-2D75B5E2BA26","各機場、港口入出境人數統計資料_1060723"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=2E2624ED-CEF3-47B3-BDD7-A995CB29C300","各機場、港口入出境人數統計資料_1060820"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=4B2CB6DC-D1EB-46E0-BAA0-78AFC651348B","各機場、港口入出境人數統計資料_1050911"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=2424C8CA-984E-41E6-B783-BFC90A5E0E1F","各機場、港口入出境人數統計資料_1050814"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=35093CA9-8E22-4BA1-946F-7A090D6EC5C0","各機場、港口入出境人數統計資料_1050331"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=B75D9812-B970-4D37-B794-C52F06C871C4","各機場、港口入出境人數統計資料_1060423"
"https://data.gov.tw/dataset/12369","各機場、港口入出境人數統計資料","自104年2月起，每周提供每日各機場港口入出境人數統計資料。","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=A5D74DCC-8D8C-48FA-81A5-965ED3864A94","各機場、港口入出境人數統計資料_1060806"
